epoch,train_loss,train_data,train_axiom,valid_loss,valid_data,valid_axiom,sat_score
1,1313.6425035264756,1313.6425035264756,0.348304635948605,943.9043782552084,943.9043782552084,0.3208244840304057,0.6791755159695944
2,1295.7151421440972,1295.7151421440972,0.19137997759713066,917.5175476074219,917.5175476074219,0.1871579885482788,0.8128420114517212
3,1243.9523078070747,1243.9523078070747,0.1646167967054579,849.3695882161459,849.3695882161459,0.164271871248881,0.835728128751119
4,1175.948927137587,1175.948927137587,0.185917682117886,733.3970845540365,733.3970845540365,0.17381366093953451,0.8261863390604655
5,1056.6626383463542,1056.6626383463542,0.22104644775390625,623.700205485026,623.700205485026,0.19085049629211426,0.8091495037078857
6,908.1242370605469,908.1242370605469,0.23323363065719604,536.6668599446615,536.6668599446615,0.19632172584533691,0.8036782741546631
7,805.4724494086372,805.4724494086372,0.2537170516120063,472.5716145833333,472.5716145833333,0.2162768840789795,0.7837231159210205
8,688.7660793728298,688.7660793728298,0.24678312407599556,463.5517578125,463.5517578125,0.20846211910247803,0.791537880897522
9,604.3925408257378,604.3925408257378,0.22780948877334595,472.7224527994792,472.7224527994792,0.1988979975382487,0.8011020024617513
10,526.7594367133247,526.7594367133247,0.21196698480182224,398.56833902994794,398.56833902994794,0.18480763832728067,0.8151923616727194
11,471.4356519911024,471.4356519911024,0.19624523984061348,355.650634765625,355.650634765625,0.16316258907318115,0.8368374109268188
12,432.362067328559,432.362067328559,0.17515503697925144,344.6144561767578,344.6144561767578,0.13831106821695963,0.8616889317830404
13,416.29298909505206,416.29298909505206,0.1455708940823873,302.95587666829425,302.95587666829425,0.10505108038584392,0.8949489196141561
14,371.8005676269531,371.8005676269531,0.11467507150438097,280.9137929280599,280.9137929280599,0.08909557263056438,0.9109044273694357
15,326.5997958713108,326.5997958713108,0.0875807073381212,270.08876037597656,270.08876037597656,0.06775881846745808,0.9322411815325419
16,333.88774956597223,333.88774956597223,0.06021665202246772,257.41461690266925,257.41461690266925,0.0504234234491984,0.9495765765508016
17,276.41261291503906,276.41261291503906,0.047682967450883657,238.69211069742838,238.69211069742838,0.035473267237345375,0.9645267327626547
18,269.1576656765408,269.1576656765408,0.03322149647606744,235.82501983642578,235.82501983642578,0.024816254774729412,0.9751837452252706
19,245.4220004611545,245.4220004611545,0.019249353143903945,221.18608601888022,221.18608601888022,0.01679299275080363,0.9832070072491964
20,218.79420810275607,218.79420810275607,0.011669927173190646,214.493283589681,214.493283589681,0.010464608669281006,0.989535391330719
21,200.9871080186632,200.9871080186632,0.007279528511895074,204.8611323038737,204.8611323038737,0.005254685878753662,0.9947453141212463
22,192.46061028374567,192.46061028374567,0.006917344199286567,193.72978973388672,193.72978973388672,0.004335085550944011,0.995664914449056
