epoch,train_loss,valid_loss
1,1317.6609429253472,947.0378214518229
2,1300.6457180447048,937.4576009114584
3,1259.3098822699653,898.3670349121094
4,1168.2965766059028,775.3681335449219
5,988.8302069769966,600.3370971679688
6,759.467542860243,503.1130065917969
7,584.2666965060764,432.80564371744794
8,497.16068183051215,327.3491923014323
9,409.8945024278429,279.23875427246094
10,312.1424543592665,257.75739034016925
11,298.6789313422309,241.14900716145834
12,279.7998792860243,238.10114034016928
13,242.12555270724826,222.37337239583334
14,231.00909423828125,209.19298299153647
15,222.7836422390408,207.11939748128256
16,191.41585201687283,199.83050028483072
17,177.87398783365884,194.81643931070963
18,173.61430019802518,191.43287658691406
19,164.4716313680013,184.22707875569662
20,175.58595699734158,181.027219136556
21,150.46079338921442,179.04844919840494
22,158.81663089328342,179.80725860595703
23,158.0019039577908,172.2143529256185
24,159.8602498372396,172.04184214274088
25,156.77660624186197,170.46729532877603
26,153.07997809516058,165.24957784016928
27,142.18727789984808,156.40276845296225
28,132.66138966878256,161.02563985188803
29,139.51040903727213,160.36629486083984
30,131.5874260796441,157.13500467936197
31,140.7467761569553,154.2057673136393
32,135.7731501261393,152.37267557779947
33,133.80645328097873,157.2000300089518
34,119.19443935818143,144.51247914632162
35,112.32208167182074,145.13389587402344
36,110.25802781846788,140.04500579833984
37,123.63227674696181,134.9648005167643
38,104.22836558024089,132.25721995035806
39,102.45126427544488,131.325803120931
40,107.12831539577908,137.34284337361655
41,111.28508589002821,123.39907582600911
42,94.12371317545573,126.95551935831706
43,103.61806148952908,134.67739741007486
44,95.15502081976996,127.62299474080403
45,89.35431332058377,125.25671768188477
46,89.53643798828125,118.8456293741862
47,85.05726962619357,128.69916661580405
48,78.87256791856554,127.340025583903
49,89.12949752807617,124.35132853190105
50,78.12794409857855,118.99476623535156
51,62.16712527804904,117.40133539835612
52,67.62352837456598,119.61382420857747
53,78.44930182562933,114.56327056884766
54,67.40919155544705,113.45874786376953
55,64.60820897420247,110.97547022501628
56,75.99467171563043,112.15200805664062
57,62.15693622165256,113.72451400756836
58,72.48850886027019,111.9799207051595
59,54.29990768432617,104.81729888916016
60,62.02430301242404,108.35637919108073
61,49.319476233588325,109.5867551167806
62,62.938987731933594,115.67315165201823
63,49.768199072943794,116.11763509114583
64,61.76968892415365,107.7914301554362
65,51.187609142727325,103.35438919067383
66,65.47105238172743,106.86955324808757
67,47.47182083129883,108.70376078287761
68,48.38378143310547,110.16281509399414
69,49.94754854838053,111.9926160176595
70,43.55044153001573,110.56840896606445
71,46.630553775363495,109.99936803181966
72,41.03320821126302,116.11430740356445
73,49.12621943155924,114.06956609090169
74,47.89813571506076,113.83911514282227
75,42.54418055216471,112.2472661336263
76,42.379969914754234,107.45484797159831
77,48.96537356906467,108.2470105489095
78,41.86543718973795,112.03841400146484
79,40.44301668802897,109.84518051147461
80,43.91433673434787,109.12829844156902
81,50.974992752075195,117.15797297159831
82,40.53881708780924,117.55548604329427
83,35.208381228976776,111.52403386433919
84,41.28157509697808,109.02966054280598
85,35.35827848646376,107.19145329793294
86,34.98670450846354,110.58578618367513
87,37.354160732693146,105.97998809814453
88,46.49937947591146,111.25403594970703
89,40.33421219719781,107.66290664672852
90,42.05022515190972,111.17986424763997
91,34.02426613701714,112.99736658732097
92,30.443172454833984,110.51021957397461
93,38.586934619479706,107.68696975708008
94,44.52534378899468,107.24252446492513
95,30.60216734144423,106.4380391438802
96,32.534159130520294,105.77197138468425
97,37.16458426581489,111.37644831339519
98,29.513147989908855,118.31559753417969
99,29.08387014600966,114.44513193766277
100,45.055490493774414,120.81148274739583
101,30.02115609910753,120.99552408854167
102,31.448926713731552,118.36564381917317
103,29.508251825968426,120.8428560892741
104,31.915585411919487,111.02427291870117
105,35.19717597961426,113.52615356445312
106,27.235043419731987,113.02188364664714
107,29.113425996568466,115.88234965006511
108,31.3375432756212,110.15014266967773
109,34.50792418585883,112.96138509114583
110,36.02516555786133,104.43955357869466
111,34.59294870164659,108.23306401570638
112,24.35078303019206,113.74140930175781
113,27.418659845987957,108.60834884643555
114,26.358538521660698,110.76054763793945
115,29.599742041693794,108.9336051940918
