epoch,train_loss,train_data,train_axiom,valid_loss,valid_data,valid_axiom,sat_score
1,1315.635016547309,1315.518059624566,0.3898267414834764,942.5304972330729,942.4278055826823,0.3423578143119812,0.6576421856880188
2,1290.500725640191,1290.4366997612847,0.21348748604456583,911.6960245768229,911.6406555175781,0.18455551067988077,0.8154444893201193
3,1244.9355604383682,1244.8889295789932,0.1554590662320455,840.491709391276,840.4452412923177,0.1549300750096639,0.8450699249903361
4,1160.7235989040798,1160.6735161675347,0.16693047682444254,719.0892944335938,719.0396423339844,0.16546249389648438,0.8345375061035156
5,1028.8481987847222,1028.7883165147568,0.1996040013101366,589.9844767252604,589.9294738769531,0.18336093425750732,0.8166390657424927
6,875.448255750868,875.3812934027778,0.22313500775231254,528.1695963541666,528.1108601888021,0.1957576870918274,0.8042423129081726
7,747.6019083658854,747.5348103841146,0.22365611129336888,487.64707438151044,487.5884602864583,0.1954141060511271,0.8045858939488729
8,610.9863891601562,610.917955186632,0.22814571857452393,464.60032145182294,464.5445048014323,0.18604866663614908,0.813951333363851
9,517.6018608940972,517.5355529785156,0.22102959950764975,415.08311971028644,415.0262756347656,0.1894907752672831,0.8105092247327169
10,508.71320258246527,508.65682305230035,0.18790900707244873,365.029535929362,364.980717976888,0.16273319721221924,0.8372668027877808
11,443.37776353624133,443.326178656684,0.1719679766231113,325.9592997233073,325.91566467285156,0.14548331499099731,0.8545166850090027
12,401.8542005750868,401.8083902994792,0.152703152762519,290.8156026204427,290.7779998779297,0.1253417730331421,0.8746582269668579
13,378.9228040907118,378.88201904296875,0.13594547245237562,278.1507619222005,278.11878458658856,0.10660415887832642,0.8933958411216736
14,345.8326399061415,345.7974344889323,0.11735371748606364,262.06873575846356,262.0421091715495,0.08874571323394775,0.9112542867660522
15,316.62908257378473,316.6031188964844,0.08652913570404053,257.518549601237,257.49651590983075,0.07343202829360962,0.9265679717063904
16,270.11544121636285,270.09446716308594,0.06991779141955906,249.50567626953125,249.48904418945312,0.05546120802561442,0.9445387919743856
17,251.0176510281033,251.00383843315973,0.046040607823265925,241.74622090657553,241.73458607991537,0.03877061605453491,0.9612293839454651
18,241.62843492296008,241.61795383029514,0.03492867946624756,239.0217742919922,239.01257832845053,0.030647416909535725,0.9693525830904642
19,238.63435702853732,238.62683953179254,0.025054660108354356,226.70526631673178,226.6994145711263,0.019501566886901855,0.9804984331130981
20,208.25597127278647,208.2510240342882,0.016491697894202337,225.57486724853516,225.57125600179037,0.01202535629272461,0.9879746437072754
21,199.55536227756076,199.55132378472223,0.013454231950971816,198.5787150065104,198.57600911458334,0.00900361935297648,0.9909963806470236
22,196.60120985243054,196.59713575575086,0.013581269317203097,198.07632191975912,198.07369995117188,0.00875029961268107,0.991249700387319
23,185.752560933431,185.74966854519315,0.009634084171719022,191.9509048461914,191.94859059651694,0.007694323857625325,0.9923056761423746
24,177.4477827284071,177.44496493869357,0.009391036298539903,176.8717269897461,176.8699493408203,0.005917946497599284,0.9940820535024008
25,173.87746938069662,173.87550777859158,0.0065444641643100316,176.0718256632487,176.06989288330078,0.0064437588055928545,0.9935562411944071
26,168.88673400878906,168.88492499457465,0.0060277581214904785,183.1835912068685,183.18177032470703,0.006063878536224365,0.9939361214637756
27,167.99866231282553,167.99692026774088,0.005799386236402724,184.4473419189453,184.4455769856771,0.005887051423390706,0.9941129485766093
28,160.13487921820746,160.1337424384223,0.0037841200828552246,177.21939086914062,177.21748860677084,0.006348828474680583,0.9936511715253195
29,151.6535847981771,151.65243784586588,0.003826810253991021,187.91863505045572,187.91682942708334,0.006032923857371013,0.993967076142629
30,147.66068098280164,147.65958234998914,0.0036651624573601615,198.48596700032553,198.4842987060547,0.005565285682678223,0.9944347143173218
31,145.83850521511502,145.83767615424262,0.0027569797303941515,168.1370646158854,168.13494873046875,0.007052560647328694,0.9929474393526713
32,138.5620600382487,138.5613055759006,0.0025169054667154946,162.39742533365884,162.39563751220703,0.005967398484547933,0.994032601515452
33,147.89455329047308,147.89344109429254,0.003706249925825331,165.5131810506185,165.51128387451172,0.006314833958943685,0.9936851660410563
34,140.0946782430013,140.09297604031033,0.00567369990878635,167.25281524658203,167.2502009073893,0.008714497089385986,0.991285502910614
35,129.37308247884116,129.37119632297092,0.0062934160232543945,157.6628443400065,157.66024271647134,0.008667508761088053,0.991332491238912
36,144.05845387776694,144.05796559651694,0.0016322467062208387,150.63048299153647,150.62826792399088,0.007377644379933675,0.9926223556200663
37,123.59438832600911,123.59289211697049,0.004993160565694173,153.44344584147134,153.4403813680013,0.010200083255767822,0.9897999167442322
38,124.01070319281683,124.00917477077908,0.005100084675682915,148.54090372721353,148.53887685139975,0.006752431392669678,0.9932475686073303
39,127.88382212320964,127.88206990559895,0.005834433767530654,154.77493031819662,154.7720743815104,0.009523133436838785,0.9904768665631613
40,124.84649064805772,124.84548441569011,0.003358337614271376,146.44713592529297,146.44403330485025,0.010354717572530111,0.9896452824274699
41,124.73678080240886,124.7354498969184,0.004439420170254177,140.26042938232422,140.25740814208984,0.010074198246002197,0.9899258017539978
42,115.42679680718317,115.42450798882379,0.007628348138597276,148.84528350830078,148.84186553955078,0.01138526201248169,0.9886147379875183
43,113.30934143066406,113.30750613742404,0.006114025910695394,154.51680755615234,154.51407114664713,0.009125471115112305,0.9908745288848877
44,113.01211208767361,113.00962490505643,0.008294966485765245,148.3627471923828,148.36000061035156,0.009160359700520834,0.9908396402994791
